first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,pfgm,pfg3m,pftm
Khris,Middleton,MIL,2018,77.0,31:04:00,6.57,14.91,2.32,6.16,2.81,3.35,0.65,5.34,5.99,4.3,1.04,0.09,2.26,2.23,18.27,0.44064386317907445,0.3766233766233766,0.8388059701492537
Blake,Griffin,DET,2018,75.0,34:58:00,8.25,17.88,2.52,6.96,5.52,7.33,1.33,6.2,7.53,5.36,0.69,0.37,3.37,2.65,24.55,0.4614093959731544,0.3620689655172414,0.753069577080491
Russell,Westbrook,OKC,2018,73.0,36:02:00,8.63,20.18,1.63,5.63,4.05,6.18,1.49,9.56,11.05,10.74,1.95,0.45,4.45,3.36,22.95,0.42765113974231916,0.2895204262877442,0.6553398058252428
Nikola,Jokic,DEN,2018,80.0,31:17:00,7.7,15.08,1.04,3.38,3.61,4.4,2.85,7.96,10.81,7.25,1.35,0.69,3.1,2.85,20.05,0.5106100795755968,0.3076923076923077,0.8204545454545453
Kyle,Lowry,TOR,2018,65.0,33:59:00,4.68,11.37,2.42,6.97,2.48,2.98,0.63,4.17,4.8,8.68,1.4,0.48,2.8,2.55,14.25,0.4116094986807388,0.3472022955523673,0.8322147651006712
D'Angelo,Russell,BRK,2018,81.0,30:13:00,8.14,18.73,2.89,7.84,1.98,2.53,0.65,3.23,3.89,6.95,1.23,0.25,3.12,1.74,21.14,0.43459690336358786,0.36862244897959184,0.782608695652174
Nikola,Vucevic,ORL,2018,80.0,31:24:00,8.76,16.93,1.05,2.89,2.24,2.84,2.8,9.2,12.0,3.84,1.01,1.11,1.99,1.96,20.81,0.5174246898995866,0.3633217993079585,0.7887323943661972
Dirk,Nowitzki,DAL,2018,51.0,15:35:00,2.65,7.37,1.25,4.02,0.76,0.98,0.1,3.0,3.1,0.69,0.18,0.35,0.35,1.49,7.31,0.35956580732700133,0.3109452736318408,0.7755102040816326
Kawhi,Leonard,LAC,2019,57.0,32:29:00,9.33,19.88,2.16,5.7,6.25,7.05,0.95,6.11,7.05,4.91,1.81,0.58,2.61,1.98,27.07,0.46931589537223345,0.37894736842105264,0.8865248226950355
Anthony,Davis,LAL,2019,62.0,34:22:00,8.89,17.68,1.16,3.52,7.16,8.47,2.29,7.02,9.31,3.23,1.47,2.31,2.48,2.52,26.1,0.5028280542986425,0.32954545454545453,0.845336481700118
